Número de trade;Instrumento;Cuenta;Estrategia;Mercado pos.;Cant.;Precio de entrada;Precio de salida;Tiempo de entrada;Tiempo de salida;Nombre de entrada;Nombre de salida;Ganancias;Con ganancia neto;Comisión;MAE;MFE;ETD;Barras;
15;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5190,50;5235,25;10/04/2025 12:21:10 p m;10/04/2025 12:27:13 p m;Entry;Target1;$ 223,75;$ 1247,50;$ 0,00;$ 52,50;$ 223,75;$ 0,00;0;
16;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5297,75;5299,00;10/04/2025 2:55:52 p m;10/04/2025 3:01:00 p m;Entry;Cerrar;$ 6,25;$ 1253,75;$ 0,00;$ 45,00;$ 106,25;$ 100,00;0;
17;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5327,75;5312,75;11/04/2025 9:10:02 a m;11/04/2025 9:11:14 a m;Entry;Stop1;-$ 75,00;$ 1178,75;$ 0,00;$ 75,00;$ 13,75;$ 88,75;0;
18;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5281,00;5325,75;11/04/2025 10:30:35 a m;11/04/2025 11:05:32 a m;Entry;Cerrar;$ 223,75;$ 1402,50;$ 0,00;$ 8,75;$ 230,00;$ 6,25;0;
19;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5326,75;5371,75;11/04/2025 11:10:32 a m;11/04/2025 11:39:08 a m;Entry;Target1;$ 225,00;$ 1627,50;$ 0,00;$ 56,25;$ 225,00;$ 0,00;0;
20;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5489,75;5461,00;14/04/2025 9:55:06 a m;14/04/2025 10:07:33 a m;Entry;Cerrar;$ 143,75;$ 1771,25;$ 0,00;$ 3,75;$ 148,75;$ 5,00;0;
21;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5476,25;5461,00;14/04/2025 10:00:45 a m;14/04/2025 10:07:33 a m;Entry;Cerrar;$ 76,25;$ 1847,50;$ 0,00;$ 17,50;$ 81,25;$ 5,00;0;
22;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 75;Short;1;5446,50;5423,00;14/04/2025 10:27:35 a m;14/04/2025 10:41:13 a m;Entry;Cerrar;$ 117,50;$ 1965,00;$ 0,00;$ 28,75;$ 122,50;$ 5,00;0;
23;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 75;Short;1;5447,00;5423,00;14/04/2025 10:32:53 a m;14/04/2025 10:41:13 a m;Entry;Cerrar;$ 120,00;$ 2085,00;$ 0,00;$ 26,25;$ 125,00;$ 5,00;0;
24;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 75;Long;1;5415,25;5400,00;14/04/2025 11:07:09 a m;14/04/2025 11:11:02 a m;Entry;Stop1;-$ 76,25;$ 2008,75;$ 0,00;$ 76,25;$ 17,50;$ 93,75;0;
25;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5410,50;5422,25;14/04/2025 11:28:17 a m;14/04/2025 11:55:00 a m;Entry;Cerrar;$ 58,75;$ 2067,50;$ 0,00;$ 22,50;$ 112,50;$ 53,75;0;
26;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5449,25;5466,50;15/04/2025 9:46:18 a m;15/04/2025 10:23:54 a m;Entry;Cerrar;$ 86,25;$ 2153,75;$ 0,00;$ 36,25;$ 116,25;$ 30,00;0;
27;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5462,50;5466,50;15/04/2025 10:00:31 a m;15/04/2025 10:23:54 a m;Entry;Cerrar;$ 20,00;$ 2173,75;$ 0,00;$ 32,50;$ 50,00;$ 30,00;0;
28;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5436,50;5443,75;15/04/2025 12:00:58 p m;15/04/2025 12:40:59 p m;Entry;Cerrar;-$ 36,25;$ 2137,50;$ 0,00;$ 73,75;$ 55,00;$ 91,25;0;
29;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5436,50;5443,75;15/04/2025 12:20:11 p m;15/04/2025 12:40:59 p m;Entry;Cerrar;-$ 36,25;$ 2101,25;$ 0,00;$ 37,50;$ 55,00;$ 91,25;0;
30;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5358,50;5366,25;16/04/2025 9:11:36 a m;16/04/2025 9:25:01 a m;Entry;Cerrar;-$ 38,75;$ 2062,50;$ 0,00;$ 38,75;$ 47,50;$ 86,25;0;
31;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5374,00;5397,50;16/04/2025 9:52:32 a m;16/04/2025 10:25:03 a m;Entry;Cerrar;$ 117,50;$ 2180,00;$ 0,00;$ 47,50;$ 118,75;$ 1,25;0;
32;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5373,25;5397,50;16/04/2025 9:58:44 a m;16/04/2025 10:25:03 a m;Entry;Cerrar;$ 121,25;$ 2301,25;$ 0,00;$ 35,00;$ 122,50;$ 1,25;0;
33;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5366,00;5351,00;16/04/2025 11:25:21 a m;16/04/2025 12:12:02 p m;Entry;Stop1;-$ 75,00;$ 2226,25;$ 0,00;$ 75,00;$ 22,50;$ 97,50;0;
34;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5304,75;5289,75;16/04/2025 1:09:48 p m;16/04/2025 1:38:25 p m;Entry;Stop1;-$ 75,00;$ 2151,25;$ 0,00;$ 75,00;$ 61,25;$ 136,25;0;
35;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5323,00;5306,75;17/04/2025 9:11:26 a m;17/04/2025 9:25:00 a m;Entry;Cerrar;$ 81,25;$ 2232,50;$ 0,00;$ 48,75;$ 87,50;$ 6,25;0;
36;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5311,50;5306,75;17/04/2025 9:23:55 a m;17/04/2025 9:25:00 a m;Entry;Cerrar;$ 23,75;$ 2256,25;$ 0,00;$ 2,50;$ 30,00;$ 6,25;0;
37;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5302,75;5327,00;17/04/2025 9:44:25 a m;17/04/2025 10:07:28 a m;Entry;Cerrar;$ 121,25;$ 2377,50;$ 0,00;$ 32,50;$ 122,50;$ 1,25;0;
38;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5305,00;5327,00;17/04/2025 9:54:30 a m;17/04/2025 10:07:28 a m;Entry;Cerrar;$ 110,00;$ 2487,50;$ 0,00;$ 43,75;$ 111,25;$ 1,25;0;
39;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 75;Short;1;5319,25;5334,50;17/04/2025 10:53:06 a m;17/04/2025 11:08:44 a m;Entry;Stop1;-$ 76,25;$ 2411,25;$ 0,00;$ 76,25;$ 51,25;$ 127,50;0;
40;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 375;Long;1;5201,75;5186,75;21/04/2025 9:45:46 a m;21/04/2025 10:01:51 a m;Entry;Stop1;-$ 75,00;$ 2336,25;$ 0,00;$ 75,00;$ 16,25;$ 91,25;0;
41;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5163,50;5159,00;21/04/2025 11:20:54 a m;21/04/2025 11:53:37 a m;Entry;Cerrar;-$ 22,50;$ 2313,75;$ 0,00;$ 31,25;$ 65,00;$ 87,50;0;
42;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5169,75;5159,00;21/04/2025 11:36:43 a m;21/04/2025 11:53:37 a m;Entry;Cerrar;-$ 53,75;$ 2260,00;$ 0,00;$ 55,00;$ 33,75;$ 87,50;0;
43;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5138,50;5183,50;21/04/2025 12:43:09 p m;21/04/2025 2:55:09 p m;Entry;Target1;$ 225,00;$ 2485,00;$ 0,00;$ 57,50;$ 225,00;$ 0,00;0;
44;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 75;Long;1;5182,50;5184,00;21/04/2025 3:07:31 p m;21/04/2025 3:50:28 p m;Entry;Cerrar;$ 7,50;$ 2492,50;$ 0,00;$ 27,50;$ 13,75;$ 6,25;0;
45;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Short;1;5327,50;5302,25;22/04/2025 11:16:03 a m;22/04/2025 12:12:27 p m;Entry;Cerrar;$ 126,25;$ 2618,75;$ 0,00;$ 58,75;$ 131,25;$ 5,00;0;
46;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Short;1;5322,50;5302,25;22/04/2025 11:41:13 a m;22/04/2025 12:12:27 p m;Entry;Cerrar;$ 101,25;$ 2720,00;$ 0,00;$ 51,25;$ 106,25;$ 5,00;0;
47;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5306,50;5303,00;22/04/2025 2:43:59 p m;22/04/2025 2:52:49 p m;Entry;Cerrar;-$ 17,50;$ 2702,50;$ 0,00;$ 18,75;$ 63,75;$ 81,25;0;
48;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5314,50;5303,00;22/04/2025 2:46:02 p m;22/04/2025 2:52:49 p m;Entry;Cerrar;-$ 57,50;$ 2645,00;$ 0,00;$ 58,75;$ 23,75;$ 81,25;0;
49;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5490,25;5466,25;23/04/2025 9:48:12 a m;23/04/2025 10:00:43 a m;Entry;Cerrar;$ 120,00;$ 2765,00;$ 0,00;$ 5,00;$ 172,50;$ 52,50;0;
50;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5476,25;5466,00;23/04/2025 9:50:46 a m;23/04/2025 10:00:43 a m;Entry;Cerrar;$ 51,25;$ 2816,25;$ 0,00;$ 28,75;$ 102,50;$ 51,25;0;
51;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5436,50;5421,50;23/04/2025 10:30:40 a m;23/04/2025 10:32:22 a m;Entry;Stop1;-$ 75,00;$ 2741,25;$ 0,00;$ 77,50;$ 0,00;$ 75,00;0;
52;MES JUN25;APEX-275553-02!Apex!Apex;ATM 2C 75 - 225;Short;2;5410,50;5419,00;23/04/2025 10:49:35 a m;23/04/2025 10:55:42 a m;Entry;Cerrar;-$ 85,00;$ 2656,25;$ 0,00;$ 87,50;$ 92,50;$ 177,50;0;
53;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5422,75;5411,00;23/04/2025 10:57:53 a m;23/04/2025 11:03:10 a m;Entry;Cerrar;-$ 58,75;$ 2597,50;$ 0,00;$ 62,50;$ 8,75;$ 67,50;0;
54;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5478,75;5482,50;24/04/2025 10:19:04 a m;24/04/2025 11:15:53 a m;Entry;Cerrar;-$ 18,75;$ 2578,75;$ 0,00;$ 30,00;$ 75,00;$ 93,75;0;
55;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5470,00;5482,50;24/04/2025 11:02:24 a m;24/04/2025 11:15:53 a m;Entry;Cerrar;-$ 62,50;$ 2516,25;$ 0,00;$ 62,50;$ 10,00;$ 72,50;0;
56;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5485,50;5525,50;24/04/2025 11:25:40 a m;24/04/2025 3:01:47 p m;Entry;Target1;$ 200,00;$ 2716,25;$ 0,00;$ 20,00;$ 272,50;$ 72,50;0;
57;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 75;Long;1;5510,50;5540,00;24/04/2025 2:47:43 p m;24/04/2025 3:01:48 p m;Entry;Cerrar;$ 147,50;$ 2863,75;$ 0,00;$ 17,50;$ 147,50;$ 0,00;0;
58;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 75;Long;1;5513,25;5498,25;25/04/2025 9:53:46 a m;25/04/2025 9:57:24 a m;Entry;Stop1;-$ 75,00;$ 2788,75;$ 0,00;$ 75,00;$ 2,50;$ 77,50;0;
59;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5515,25;5500,25;25/04/2025 10:10:46 a m;25/04/2025 10:38:29 a m;Entry;Stop1;-$ 75,00;$ 2713,75;$ 0,00;$ 75,00;$ 16,25;$ 91,25;0;
60;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5528,00;5543,00;25/04/2025 11:47:33 a m;25/04/2025 12:12:32 p m;Entry;Stop1;-$ 75,00;$ 2638,75;$ 0,00;$ 75,00;$ 25,00;$ 100,00;0;
61;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 75;Long;1;5552,25;5545,75;28/04/2025 9:06:55 a m;28/04/2025 10:06:29 a m;Entry;Cerrar;-$ 32,50;$ 2606,25;$ 0,00;$ 63,75;$ 60,00;$ 92,50;0;
62;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 75;Long;1;5555,00;5545,75;28/04/2025 9:42:56 a m;28/04/2025 10:06:29 a m;Entry;Cerrar;-$ 46,25;$ 2560,00;$ 0,00;$ 47,50;$ 35,00;$ 81,25;0;
63;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 75;Long;1;5540,00;5525,00;28/04/2025 10:15:51 a m;28/04/2025 10:21:45 a m;Entry;Stop1;-$ 75,00;$ 2485,00;$ 0,00;$ 75,00;$ 1,25;$ 76,25;0;
64;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 75;Long;1;5508,00;5493,00;28/04/2025 11:38:47 a m;28/04/2025 12:30:58 p m;Entry;Stop1;-$ 75,00;$ 2410,00;$ 0,00;$ 75,00;$ 48,75;$ 123,75;0;
65;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 75;Short;1;5534,25;5549,25;29/04/2025 8:36:28 a m;29/04/2025 8:46:48 a m;Entry;Stop1;-$ 75,00;$ 2335,00;$ 0,00;$ 75,00;$ 15,00;$ 90,00;0;
66;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5562,00;5553,25;29/04/2025 9:45:58 a m;29/04/2025 10:34:03 a m;Entry;Cerrar;-$ 43,75;$ 2291,25;$ 0,00;$ 46,25;$ 67,50;$ 111,25;0;
67;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5559,50;5553,25;29/04/2025 10:23:48 a m;29/04/2025 10:34:03 a m;Entry;Cerrar;-$ 31,25;$ 2260,00;$ 0,00;$ 33,75;$ 45,00;$ 76,25;0;
68;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5559,50;5590,50;29/04/2025 10:36:57 a m;29/04/2025 1:08:35 p m;Entry;Cerrar;$ 155,00;$ 2415,00;$ 0,00;$ 61,25;$ 190,00;$ 35,00;0;
69;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 75;Long;1;5589,50;5585,00;29/04/2025 1:24:37 p m;29/04/2025 3:57:03 p m;Entry;Cerrar;-$ 22,50;$ 2392,50;$ 0,00;$ 65,00;$ 37,50;$ 60,00;0;
70;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5480,50;5494,50;30/04/2025 9:12:07 a m;30/04/2025 9:41:21 a m;Entry;Stop1;$ 70,00;$ 2462,50;$ 0,00;$ 2,50;$ 156,25;$ 86,25;0;
71;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5509,00;5531,00;30/04/2025 9:48:39 a m;30/04/2025 10:13:58 a m;Entry;Target1;$ 110,00;$ 2572,50;$ 0,00;$ 58,75;$ 110,00;$ 0,00;0;
72;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5507,75;5531,00;30/04/2025 9:57:07 a m;30/04/2025 10:13:58 a m;Entry;Target1;$ 116,25;$ 2688,75;$ 0,00;$ 1,25;$ 116,25;$ 0,00;0;
73;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 75;Long;1;5544,00;5559,00;30/04/2025 12:32:18 p m;30/04/2025 1:07:03 p m;Entry;Target1;$ 75,00;$ 2763,75;$ 0,00;$ 18,75;$ 75,00;$ 0,00;0;
74;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Short;1;5637,50;5652,50;1/05/2025 9:11:39 a m;1/05/2025 9:18:03 a m;Entry;Stop1;-$ 75,00;$ 2688,75;$ 0,00;$ 75,00;$ 13,75;$ 88,75;0;
75;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5657,75;5656,25;1/05/2025 9:35:21 a m;1/05/2025 10:51:36 a m;Entry;Cerrar;-$ 7,50;$ 2681,25;$ 0,00;$ 7,50;$ 122,50;$ 130,00;0;
76;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5671,00;5656,25;1/05/2025 10:33:30 a m;1/05/2025 10:51:36 a m;Entry;Cerrar;-$ 73,75;$ 2607,50;$ 0,00;$ 73,75;$ 11,25;$ 85,00;0;
77;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5655,25;5640,25;1/05/2025 10:54:49 a m;1/05/2025 10:56:23 a m;Entry;Stop1;-$ 75,00;$ 2532,50;$ 0,00;$ 75,00;$ 0,00;$ 75,00;0;
78;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Short;1;5699,75;5715,25;2/05/2025 9:30:19 a m;2/05/2025 11:01:09 a m;Entry;Stop1;-$ 77,50;$ 2455,00;$ 0,00;$ 77,50;$ 75,00;$ 152,50;0;
79;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Short;1;5710,50;5708,25;2/05/2025 11:10:50 a m;2/05/2025 3:48:50 p m;Entry;Cerrar;$ 11,25;$ 2466,25;$ 0,00;$ 70,00;$ 52,50;$ 41,25;0;
80;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5671,75;5694,50;5/05/2025 9:15:08 a m;5/05/2025 11:58:57 a m;Entry;Cerrar;$ 113,75;$ 2580,00;$ 0,00;$ 20,00;$ 135,00;$ 21,25;0;
81;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5702,25;5687,25;5/05/2025 1:15:13 p m;5/05/2025 2:22:23 p m;Entry;Stop1;-$ 75,00;$ 2505,00;$ 0,00;$ 75,00;$ 18,75;$ 93,75;0;
82;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Short;1;5666,75;5670,25;5/05/2025 3:05:04 p m;5/05/2025 3:49:29 p m;Entry;Cerrar;-$ 17,50;$ 2487,50;$ 0,00;$ 25,00;$ 7,50;$ 25,00;0;
