Numero de trade;Instrumento;Cuenta;Estrategia;Mercado pos.;Cant;Precio de entrada;Precio de salida;Tiempo de entrada;Tiempo de salida;Nombre de entrada;Nombre de salida;Ganancias;Con ganancia neto;Comision;MAE;MFE;ETD;Barras
33;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Short;1;5322,5;5302,25;22/04/2025 11:41:13 a m;22/04/2025 12:12:27 p m;Entry;Cerrar;$ 101,25;$ 1.621,25;$ 0,00;$ 51,25;$ 106,25;$ 5,00;0
34;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5306,5;5303;22/04/2025 2:43:59 p m;22/04/2025 2:52:49 p m;Entry;Cerrar;-$ 17,50;$ 1.603,75;$ 0,00;$ 18,75;$ 63,75;$ 81,25;0
35;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 150;Long;1;5314,5;5303;22/04/2025 2:46:02 p m;22/04/2025 2:52:49 p m;Entry;Cerrar;-$ 57,50;$ 1.546,25;$ 0,00;$ 58,75;$ 23,75;$ 81,25;0
36;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5490,25;5466,25;23/04/2025 9:48:12 a m;23/04/2025 10:00:43 a m;Entry;Cerrar;$ 120,00;$ 1.666,25;$ 0,00;$ 5,00;$ 172,50;$ 52,50;0
37;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5476,25;5466;23/04/2025 9:50:46 a m;23/04/2025 10:00:43 a m;Entry;Cerrar;$ 51,25;$ 1.717,50;$ 0,00;$ 28,75;$ 102,50;$ 51,25;0
38;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5436,5;5421,5;23/04/2025 10:30:40 a m;23/04/2025 10:32:22 a m;Entry;Stop1;-$ 75,00;$ 1.642,50;$ 0,00;$ 77,50;$ 0,00;$ 75,00;0
39;MES JUN25;APEX-275553-02!Apex!Apex;ATM 2C 75 - 225;Short;2;5410,5;5419;23/04/2025 10:49:35 a m;23/04/2025 10:55:42 a m;Entry;Cerrar;-$ 85,00;$ 1.557,50;$ 0,00;$ 87,50;$ 92,50;$ 177,50;0
40;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5422,75;5411;23/04/2025 10:57:53 a m;23/04/2025 11:03:10 a m;Entry;Cerrar;-$ 58,75;$ 1.498,75;$ 0,00;$ 62,50;$ 8,75;$ 67,50;0
41;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5478,75;5482,5;24/04/2025 10:19:04 a m;24/04/2025 11:15:53 a m;Entry;Cerrar;-$ 18,75;$ 1.480,00;$ 0,00;$ 30,00;$ 75,00;$ 93,75;0
42;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Short;1;5470;5482,5;24/04/2025 11:02:24 a m;24/04/2025 11:15:53 a m;Entry;Cerrar;-$ 62,50;$ 1.417,50;$ 0,00;$ 62,50;$ 10,00;$ 72,50;0
43;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 225;Long;1;5485,5;5525,5;24/04/2025 11:25:40 a m;24/04/2025 3:01:47 p m;Entry;Target1;$ 200,00;$ 1.617,50;$ 0,00;$ 20,00;$ 272,50;$ 72,50;0
44;MES JUN25;APEX-275553-02!Apex!Apex;ATM 75 - 75;Long;1;5510,5;5540;24/04/2025 2:47:43 p m;24/04/2025 3:01:48 p m;Entry;Cerrar;$ 147,50;$ 1.765,00;$ 0,00;$ 17,50;$ 147,50;$ 0,00;0
