Número de trade;Instrumento;Cuenta;Estrategia;Mercado pos.;Cant.;Precio de entrada;Precio de salida;Tiempo de entrada;Tiempo de salida;Nombre de entrada;Nombre de salida;Ganancias;Con ganancia neto;Comisión;MAE;MFE;ETD;Barras;
142;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Short;1;5701,50;5686,75;8/05/2025 2:50:13 p m;8/05/2025 2:55:05 p m;Entry;Target1;$ 73,75;$ 1640,00;$ 0,00;$ 2,50;$ 96,25;$ 22,50;0;
143;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Short;2;5701,50;5688,50;8/05/2025 2:50:13 p m;8/05/2025 3:51:57 p m;Entry;Cerrar;$ 130,00;$ 1770,00;$ 0,00;$ 5,00;$ 192,50;$ 62,50;0;
144;MES JUN25;APEX-275553-02!Apex!Apex;ATM_BE60_4_T70_100_140;Short;1;5704,25;5699,25;9/05/2025 9:05:23 a m;9/05/2025 9:13:44 a m;Entry;Target1;$ 25,00;$ 1795,00;$ 0,00;$ 21,25;$ 75,00;$ 50,00;0;
145;MES JUN25;APEX-275553-02!Apex!Apex;ATM_BE60_4_T70_100_140;Short;1;5704,25;5694,25;9/05/2025 9:05:23 a m;9/05/2025 9:19:55 a m;Entry;Target2;$ 50,00;$ 1845,00;$ 0,00;$ 21,25;$ 75,00;$ 25,00;0;
146;MES JUN25;APEX-275553-02!Apex!Apex;ATM_BE60_4_T70_100_140;Short;1;5704,25;5689,25;9/05/2025 9:05:23 a m;9/05/2025 9:20:12 a m;Entry;Target3;$ 75,00;$ 1920,00;$ 0,00;$ 21,25;$ 75,00;$ 0,00;0;
147;MES JUN25;APEX-275553-02!Apex!Apex;ATM_BE60_4_T70_100_140;Long;1;5687,75;5682,75;9/05/2025 10:56:14 a m;9/05/2025 11:03:21 a m;Entry;Stop3;-$ 25,00;$ 1895,00;$ 0,00;$ 25,00;$ 18,75;$ 43,75;0;
148;MES JUN25;APEX-275553-02!Apex!Apex;ATM_BE60_4_T70_100_140;Long;1;5687,75;5682,75;9/05/2025 10:56:14 a m;9/05/2025 11:03:21 a m;Entry;Stop2;-$ 25,00;$ 1870,00;$ 0,00;$ 25,00;$ 18,75;$ 43,75;0;
149;MES JUN25;APEX-275553-02!Apex!Apex;ATM_BE60_4_T70_100_140;Long;1;5687,75;5682,75;9/05/2025 10:56:14 a m;9/05/2025 11:03:21 a m;Entry;Stop1;-$ 25,00;$ 1845,00;$ 0,00;$ 25,00;$ 18,75;$ 43,75;0;
150;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Short;1;5674,50;5689,50;9/05/2025 11:09:58 a m;9/05/2025 2:08:03 p m;Entry;Stop2;-$ 75,00;$ 1770,00;$ 0,00;$ 75,00;$ 57,50;$ 132,50;0;
151;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Short;1;5674,50;5689,50;9/05/2025 11:09:58 a m;9/05/2025 2:08:03 p m;Entry;Stop1;-$ 75,00;$ 1695,00;$ 0,00;$ 75,00;$ 57,50;$ 132,50;0;
152;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Short;1;5674,50;5689,50;9/05/2025 11:09:58 a m;9/05/2025 2:08:03 p m;Entry;Stop3;-$ 75,00;$ 1620,00;$ 0,00;$ 75,00;$ 57,50;$ 132,50;0;
153;MES JUN25;APEX-275553-02!Apex!Apex;ATM_BE60_4_T70_100_140;Long;1;5689,75;5684,75;9/05/2025 2:14:52 p m;9/05/2025 2:21:24 p m;Entry;Stop2;-$ 25,00;$ 1595,00;$ 0,00;$ 26,25;$ 5,00;$ 30,00;0;
154;MES JUN25;APEX-275553-02!Apex!Apex;ATM_BE60_4_T70_100_140;Long;1;5689,75;5684,75;9/05/2025 2:14:52 p m;9/05/2025 2:21:24 p m;Entry;Stop3;-$ 25,00;$ 1570,00;$ 0,00;$ 26,25;$ 5,00;$ 30,00;0;
155;MES JUN25;APEX-275553-02!Apex!Apex;ATM_BE60_4_T70_100_140;Long;1;5689,75;5684,75;9/05/2025 2:14:52 p m;9/05/2025 2:21:24 p m;Entry;Stop1;-$ 25,00;$ 1545,00;$ 0,00;$ 26,25;$ 5,00;$ 30,00;0;
156;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5832,25;5817,25;12/05/2025 9:22:36 a m;12/05/2025 9:28:04 a m;Entry;Stop2;-$ 75,00;$ 1470,00;$ 0,00;$ 75,00;$ 20,00;$ 95,00;0;
157;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5832,25;5817,25;12/05/2025 9:22:36 a m;12/05/2025 9:28:04 a m;Entry;Stop3;-$ 75,00;$ 1395,00;$ 0,00;$ 75,00;$ 20,00;$ 95,00;0;
158;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5832,25;5817,25;12/05/2025 9:22:36 a m;12/05/2025 9:28:04 a m;Entry;Stop1;-$ 75,00;$ 1320,00;$ 0,00;$ 75,00;$ 20,00;$ 95,00;0;
159;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;3;5821,25;5855,00;12/05/2025 9:40:42 a m;12/05/2025 12:07:23 p m;Entry;Cerrar;$ 506,25;$ 1826,25;$ 0,00;$ 86,25;$ 513,75;$ 7,50;0;
160;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5857,75;5874,75;12/05/2025 2:54:29 p m;12/05/2025 3:01:58 p m;Entry;Target2;$ 85,00;$ 1911,25;$ 0,00;$ 32,50;$ 88,75;$ 3,75;0;
161;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5857,75;5874,75;12/05/2025 2:54:29 p m;12/05/2025 3:01:58 p m;Entry;Target1;$ 85,00;$ 1996,25;$ 0,00;$ 32,50;$ 88,75;$ 3,75;0;
162;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5857,75;5874,75;12/05/2025 2:54:29 p m;12/05/2025 3:01:58 p m;Entry;Target3;$ 85,00;$ 2081,25;$ 0,00;$ 32,50;$ 88,75;$ 3,75;0;
163;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Short;1;5905,00;5920,00;13/05/2025 9:58:12 a m;13/05/2025 10:46:36 a m;Entry;Stop3;-$ 75,00;$ 2006,25;$ 0,00;$ 75,00;$ 11,25;$ 86,25;0;
164;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Short;1;5905,00;5920,00;13/05/2025 9:58:12 a m;13/05/2025 10:46:36 a m;Entry;Stop1;-$ 75,00;$ 1931,25;$ 0,00;$ 75,00;$ 11,25;$ 86,25;0;
165;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Short;1;5905,00;5920,00;13/05/2025 9:58:12 a m;13/05/2025 10:46:36 a m;Entry;Stop2;-$ 75,00;$ 1856,25;$ 0,00;$ 75,00;$ 11,25;$ 86,25;0;
166;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5910,25;5911,25;13/05/2025 11:13:40 a m;13/05/2025 1:01:43 p m;Entry;Stop2;$ 5,00;$ 1861,25;$ 0,00;$ 31,25;$ 82,50;$ 77,50;0;
167;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5910,25;5911,25;13/05/2025 11:13:40 a m;13/05/2025 1:01:43 p m;Entry;Stop3;$ 5,00;$ 1866,25;$ 0,00;$ 31,25;$ 82,50;$ 77,50;0;
168;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5910,25;5911,25;13/05/2025 11:13:40 a m;13/05/2025 1:01:43 p m;Entry;Stop1;$ 5,00;$ 1871,25;$ 0,00;$ 31,25;$ 82,50;$ 77,50;0;
169;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Short;3;5916,50;5901,75;13/05/2025 1:08:00 p m;13/05/2025 3:56:14 p m;Entry;Cerrar;$ 221,25;$ 2092,50;$ 0,00;$ 153,75;$ 255,00;$ 33,75;0;
170;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5911,50;5896,50;14/05/2025 9:50:43 a m;14/05/2025 10:04:39 a m;Entry;Stop2;-$ 75,00;$ 2017,50;$ 0,00;$ 75,00;$ 11,25;$ 86,25;0;
171;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5911,50;5896,50;14/05/2025 9:50:43 a m;14/05/2025 10:04:39 a m;Entry;Stop1;-$ 75,00;$ 1942,50;$ 0,00;$ 75,00;$ 11,25;$ 86,25;0;
172;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5911,50;5896,50;14/05/2025 9:50:43 a m;14/05/2025 10:04:39 a m;Entry;Stop3;-$ 75,00;$ 1867,50;$ 0,00;$ 75,00;$ 11,25;$ 86,25;0;
173;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Short;1;5900,00;5915,00;14/05/2025 10:11:56 a m;14/05/2025 10:28:34 a m;Entry;Stop1;-$ 75,00;$ 1792,50;$ 0,00;$ 75,00;$ 0,00;$ 75,00;0;
174;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Short;1;5900,00;5915,00;14/05/2025 10:11:56 a m;14/05/2025 10:28:34 a m;Entry;Stop3;-$ 75,00;$ 1717,50;$ 0,00;$ 75,00;$ 0,00;$ 75,00;0;
175;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Short;1;5900,00;5915,00;14/05/2025 10:11:56 a m;14/05/2025 10:28:34 a m;Entry;Stop2;-$ 75,00;$ 1642,50;$ 0,00;$ 75,00;$ 0,00;$ 75,00;0;
176;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5915,00;5900,00;14/05/2025 10:56:59 a m;14/05/2025 12:16:55 p m;Entry;Stop3;-$ 75,00;$ 1567,50;$ 0,00;$ 75,00;$ 30,00;$ 105,00;0;
177;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5915,00;5900,00;14/05/2025 10:56:59 a m;14/05/2025 12:16:55 p m;Entry;Stop2;-$ 75,00;$ 1492,50;$ 0,00;$ 75,00;$ 30,00;$ 105,00;0;
178;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5915,00;5900,00;14/05/2025 10:56:59 a m;14/05/2025 12:16:55 p m;Entry;Stop1;-$ 75,00;$ 1417,50;$ 0,00;$ 75,00;$ 30,00;$ 105,00;0;
179;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;3;5899,00;5916,00;15/05/2025 9:20:00 a m;15/05/2025 10:25:28 a m;Entry;Cerrar;$ 255,00;$ 1672,50;$ 0,00;$ 183,75;$ 371,25;$ 116,25;0;
180;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;3;5927,00;5935,25;15/05/2025 11:29:41 a m;15/05/2025 1:32:18 p m;Entry;Cerrar;$ 123,75;$ 1796,25;$ 0,00;$ 90,00;$ 262,50;$ 138,75;0;
181;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;3;5935,25;5935,25;15/05/2025 1:32:17 p m;15/05/2025 1:32:18 p m;Entry;Cerrar;$ 0,00;$ 1796,25;$ 0,00;$ 7,50;$ 3,75;$ 3,75;0;
182;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;3;5930,75;5937,25;15/05/2025 2:48:18 p m;15/05/2025 3:26:29 p m;Entry;Cerrar;$ 97,50;$ 1893,75;$ 0,00;$ 78,75;$ 161,25;$ 63,75;0;
183;MES JUN25;APEX-275553-02!Apex!Apex;ATM_3T_RR1‑3_SL-225__BE--60-4__T90‑-120-‑160;Long;1;5946,00;5930,25;16/05/2025 9:24:20 a m;16/05/2025 9:42:22 a m;Entry;Stop3;-$ 78,75;$ 1815,00;$ 0,00;$ 78,75;$ 12,50;$ 91,25;0;
